PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-49675,128363-158373,128363-84667,128363-145334,128363-157822,128363-203761,128363-80817,128363-194829,128363-159097,308.10,60000,12.33,385.78,3.1089,0.0217
128363-188410,128363-145323,128363-157833,128363-80817,128363-228161,128363-171784,128363-171770,128363-203802,128363-70823,297.50,59800,8.81,370.03,1.6175,0.0080
128363-203721,128363-80816,128363-49116,128363-145314,128363-145334,128363-203713,128363-84670,128363-12341,128363-60021,279.80,59000,5.70,364.53,1.9951,0.0090
128363-145331,128363-145323,128363-58462,128363-203761,128363-19067,128363-145334,128363-203716,128363-233146,128363-158137,288.40,59500,4.93,365.40,1.6355,0.0073
128363-19067,128363-157850,128363-60021,128363-171925,128363-228133,128363-80816,128363-80808,128363-145341,128363-157811,276.90,58500,5.63,359.05,1.1826,0.0037
128363-158373,128363-80816,128363-12341,128363-228117,128363-145334,128363-188410,128363-157826,128363-157833,128363-60021,285.60,59500,3.44,356.95,1.7571,0.0050
128363-145323,128363-145331,128363-70823,128363-12341,128363-228161,128363-84667,128363-110357,128363-171770,128363-203771,304.80,59900,13.95,388.49,4.7947,0.0310
128363-179762,128363-49675,128363-171784,128363-84667,128363-203761,128363-145341,128363-80817,128363-171795,128363-58462,309.60,59900,17.67,404.86,5.1819,0.0353
128363-145331,128363-171784,128363-188452,128363-171769,128363-84667,128363-228133,128363-203802,128363-12341,128363-157825,288.90,59100,8.82,372.27,1.1616,0.0087
128363-110356,128363-179762,128363-188449,128363-171795,128363-171784,128363-188405,128363-84670,128363-9646,128363-60021,293.90,59200,14.36,385.23,2.3936,0.0163
128363-179762,128363-203721,128363-70823,128363-58462,128363-203718,128363-145334,128363-40562,128363-67026,128363-60021,297.00,58100,14.82,385.42,1.9163,0.0167
128363-49675,128363-228133,128363-179512,128363-70823,128363-145323,128363-203798,128363-12341,128363-9646,128363-157825,275.30,57400,7.07,356.40,1.0941,0.0037
128363-80816,128363-228161,128363-203761,128363-58462,128363-19067,128363-49675,128363-84695,128363-171770,128363-70823,295.80,58700,8.66,366.04,1.5978,0.0060
128363-171784,128363-145331,128363-213216,128363-179762,128363-157822,128363-203761,128363-60021,128363-49116,128363-203771,314.00,60000,13.34,393.49,4.1088,0.0257
128363-84667,128363-145331,128363-145308,128363-12341,128363-145323,128363-67026,128363-228151,128363-110357,128363-157825,293.00,59900,9.37,378.42,1.0644,0.0103
128363-145323,128363-228161,128363-40562,128363-58462,128363-228120,128363-145334,128363-171770,128363-58153,128363-228166,287.90,60000,6.19,357.50,1.3443,0.0053
128363-145331,128363-19067,128363-157833,128363-60021,128363-179762,128363-188464,128363-58153,128363-12341,128363-157825,312.50,59700,19.77,404.55,10.5990,0.0663
128363-203718,128363-84667,128363-157826,128363-188464,128363-203761,128363-171770,128363-171795,128363-60021,128363-80817,309.80,60000,15.54,406.48,5.7984,0.0457
128363-157850,128363-145331,128363-171784,128363-145323,128363-203761,128363-12341,128363-158855,128363-194829,128363-159097,305.20,59400,16.51,395.04,4.9360,0.0380
128363-145323,128363-203777,128363-12341,128363-228122,128363-188464,128363-67026,128363-188422,128363-110357,128363-60021,295.80,59000,9.37,378.34,1.5936,0.0097
128363-145323,128363-145331,128363-188464,128363-84667,128363-84695,128363-12341,128363-58462,128363-158855,128363-145304,309.50,60000,16.13,404.57,9.3368,0.0637
128363-179762,128363-158373,128363-68090,128363-12341,128363-49675,128363-171672,128363-228117,128363-157822,128363-60021,293.50,57800,9.02,373.38,1.4558,0.0067
128363-145323,128363-145331,128363-203718,128363-188464,128363-157833,128363-203761,128363-58462,128363-145339,128363-188451,314.20,59700,19.54,405.96,10.2436,0.0577
128363-179762,128363-157850,128363-145323,128363-188464,128363-171795,128363-12341,128363-58462,128363-68090,128363-80817,307.60,59500,22.37,413.04,9.8652,0.0743
128363-179762,128363-145331,128363-145323,128363-188464,128363-84695,128363-157822,128363-80817,128363-60021,128363-188451,321.60,60000,19.88,416.96,22.7811,0.1003
128363-158373,128363-145331,128363-171784,128363-145323,128363-171795,128363-84670,128363-203761,128363-58462,128363-159097,315.00,60000,14.90,396.91,5.2796,0.0367
128363-110312,128363-145331,128363-171770,128363-203767,128363-145323,128363-228118,128363-228124,128363-84695,128363-58378,276.70,58700,4.87,361.44,1.3766,0.0050
128363-145331,128363-203733,128363-60021,128363-194829,128363-203727,128363-188464,128363-228124,128363-9714,128363-80817,288.20,58500,8.08,385.07,7.2851,0.0303
128363-203713,128363-203718,128363-58462,128363-145339,128363-84667,128363-9714,128363-68090,128363-171795,128363-157908,284.00,58900,9.61,372.07,1.8727,0.0127
128363-203798,128363-84667,128363-12341,128363-228122,128363-179762,128363-19067,128363-67026,128363-80808,128363-58378,292.80,60000,9.49,371.28,2.0709,0.0113
128363-84667,128363-49675,128363-157833,128363-171795,128363-203718,128363-188464,128363-84670,128363-158854,128363-157908,283.30,57500,10.31,372.30,1.9176,0.0117
128363-203733,128363-179762,128363-157822,128363-171769,128363-80816,128363-203798,128363-188416,128363-157833,128363-58378,274.30,58900,3.55,347.71,2.6601,0.0087
128363-110312,128363-171784,128363-157822,128363-194829,128363-179762,128363-145334,128363-67026,128363-203802,128363-70823,297.30,59400,15.20,375.48,2.0885,0.0097
128363-145331,128363-203713,128363-145314,128363-60021,128363-188405,128363-84670,128363-188452,128363-233146,128363-157825,289.50,58900,9.09,374.00,2.6945,0.0160
128363-157850,128363-145331,128363-179762,128363-188464,128363-203761,128363-67026,128363-60021,128363-70823,128363-15557,312.40,59700,19.05,411.00,13.2356,0.0670
128363-145323,128363-84667,128363-145334,128363-203718,128363-157833,128363-158855,128363-145339,128363-58462,128363-60021,309.60,59800,17.83,400.94,8.4878,0.0447
128363-84667,128363-145331,128363-145323,128363-179762,128363-84695,128363-12341,128363-60021,128363-58462,128363-188451,319.80,60000,20.80,420.00,25.7941,0.1217
128363-179762,128363-145331,128363-145323,128363-188464,128363-84695,128363-157833,128363-60021,128363-58462,128363-145548,320.10,59900,19.72,416.94,16.6073,0.0993
128363-84667,128363-145331,128363-68090,128363-80817,128363-179762,128363-188464,128363-171770,128363-171795,128363-157825,308.60,59400,22.01,411.96,10.6610,0.0863
128363-228133,128363-110312,128363-188449,128363-80817,128363-203798,128363-145323,128363-171770,128363-228127,128363-145548,278.40,59100,7.61,366.28,0.2200,0.0030
128363-145331,128363-20640,128363-60021,128363-80817,128363-145334,128363-19067,128363-158855,128363-58153,128363-70823,297.10,59600,9.16,379.22,2.2000,0.0140
128363-203718,128363-110356,128363-80808,128363-12341,128363-110312,128363-188464,128363-145334,128363-9714,128363-157811,294.00,59900,13.71,375.92,4.3807,0.0190
128363-228133,128363-203718,128363-194829,128363-188422,128363-84667,128363-213216,128363-157822,128363-157833,128363-145314,289.10,58000,10.63,365.30,1.5530,0.0067
128363-84667,128363-203718,128363-188418,128363-157822,128363-19067,128363-80816,128363-84670,128363-67026,128363-145314,288.10,59000,9.14,362.20,0.5997,0.0060
128363-179762,128363-203733,128363-110357,128363-213216,128363-157822,128363-12341,128363-171925,128363-157833,128363-228166,288.40,59900,8.45,367.26,3.2946,0.0167
128363-179762,128363-110312,128363-60021,128363-157822,128363-9714,128363-145323,128363-67026,128363-145341,128363-203771,308.70,59800,12.70,386.95,3.5238,0.0253
128363-188405,128363-145331,128363-188422,128363-70823,128363-67026,128363-188464,128363-110357,128363-188418,128363-157825,296.80,59200,12.85,378.94,2.8575,0.0253
128363-145323,128363-145331,128363-110312,128363-84667,128363-145334,128363-171795,128363-60021,128363-70823,128363-159097,315.10,60000,19.81,407.76,7.8953,0.0463
128363-145323,128363-84667,128363-188464,128363-213216,128363-171770,128363-145334,128363-58462,128363-60021,128363-58378,311.60,59700,16.14,400.70,8.4019,0.0403
128363-49675,128363-228161,128363-157822,128363-145339,128363-110357,128363-160182,128363-188452,128363-171770,128363-171767,279.70,59400,4.75,346.84,1.1184,0.0017
128363-145331,128363-157812,128363-12341,128363-68090,128363-203802,128363-67026,128363-188416,128363-188452,128363-159097,288.90,60000,7.05,367.78,1.8379,0.0117
128363-110312,128363-158373,128363-145304,128363-157833,128363-110357,128363-171672,128363-9714,128363-68090,128363-157811,288.10,59800,8.05,361.80,2.8625,0.0120
128363-80816,128363-203733,128363-203761,128363-171795,128363-84667,128363-110312,128363-228127,128363-145334,128363-145304,281.30,58900,7.26,366.71,2.0714,0.0037
128363-145331,128363-228161,128363-161552,128363-194829,128363-80816,128363-203727,128363-157833,128363-49116,128363-80817,281.00,58200,5.18,364.12,2.2528,0.0090
128363-157850,128363-145331,128363-179762,128363-84667,128363-171795,128363-84695,128363-157833,128363-194829,128363-60021,314.60,60000,20.96,416.28,18.7008,0.1000
128363-84667,128363-179762,128363-188464,128363-145323,128363-171795,128363-12341,128363-60021,128363-58462,128363-80817,317.20,59300,27.65,428.40,19.6328,0.1280
128363-19067,128363-145331,128363-188464,128363-84667,128363-158855,128363-12341,128363-58462,128363-194829,128363-60021,311.60,59900,21.06,412.40,12.2756,0.0917
128363-188405,128363-157850,128363-203761,128363-188449,128363-171672,128363-49675,128363-188418,128363-171770,128363-228166,287.20,60000,8.09,365.40,1.4151,0.0047
128363-158373,128363-110312,128363-58462,128363-157833,128363-49675,128363-20640,128363-171795,128363-228127,128363-84676,289.20,59000,6.61,364.86,2.1682,0.0117
128363-203721,128363-228120,128363-145548,128363-157822,128363-228127,128363-84667,128363-157833,128363-12341,128363-228122,278.60,59100,4.76,355.39,0.8205,0.0080
128363-145331,128363-228161,128363-171795,128363-80808,128363-110312,128363-145323,128363-12341,128363-84695,128363-159097,307.60,59900,13.26,390.06,2.9488,0.0237
128363-19067,128363-228133,128363-145314,128363-171795,128363-67026,128363-228127,128363-49116,128363-145341,128363-60021,288.00,59500,7.91,370.87,1.3087,0.0057
128363-110356,128363-84667,128363-158854,128363-228117,128363-67026,128363-213216,128363-157833,128363-228127,128363-58378,278.80,58700,4.46,350.78,0.4237,0.0027
128363-84667,128363-188405,128363-58462,128363-188422,128363-228127,128363-145334,128363-203802,128363-203761,128363-145548,288.60,59100,7.73,364.80,0.3704,0.0023
128363-145331,128363-84667,128363-145323,128363-188464,128363-188452,128363-145334,128363-60021,128363-58462,128363-157825,317.80,60000,22.15,413.90,13.5499,0.0817
128363-84667,128363-145323,128363-67026,128363-179762,128363-171795,128363-203761,128363-58462,128363-60021,128363-159097,322.00,60000,23.42,418.80,21.4682,0.1197
128363-179762,128363-145331,128363-145323,128363-84667,128363-188449,128363-12341,128363-80817,128363-60021,128363-15557,308.40,60000,18.08,417.64,25.3901,0.1117
128363-145331,128363-84667,128363-145334,128363-179762,128363-145341,128363-203761,128363-145339,128363-58462,128363-60021,313.70,59700,17.49,408.63,15.9087,0.0767
128363-179762,128363-158373,128363-171784,128363-203718,128363-67026,128363-157833,128363-60021,128363-203761,128363-84676,313.80,59500,14.35,389.89,3.3905,0.0260
128363-145331,128363-157812,128363-157908,128363-157904,128363-213216,128363-228133,128363-203761,128363-188444,128363-188451,278.40,58700,3.54,348.02,1.2266,0.0043
128363-145323,128363-145331,128363-179762,128363-84667,128363-203761,128363-84695,128363-70823,128363-58462,128363-60021,325.30,59600,22.77,417.52,25.0741,0.1127
128363-145331,128363-179762,128363-84667,128363-145323,128363-203761,128363-188452,128363-60021,128363-80817,128363-157825,321.40,60000,23.33,419.66,23.8840,0.1287
128363-158373,128363-228133,128363-68090,128363-80817,128363-67026,128363-203727,128363-110357,128363-228124,128363-171925,277.90,59700,4.33,356.27,2.0567,0.0107
128363-228161,128363-157812,128363-49116,128363-68090,128363-203727,128363-203715,128363-67026,128363-157833,128363-80817,282.80,59300,4.00,354.62,3.4877,0.0130
128363-203733,128363-145323,128363-12341,128363-60021,128363-110357,128363-19067,128363-233146,128363-203761,128363-157811,293.60,58400,12.67,377.22,1.7030,0.0077
128363-84667,128363-188410,128363-145323,128363-188464,128363-80808,128363-157833,128363-60021,128363-203761,128363-70823,315.00,59800,15.69,399.73,8.6961,0.0500
128363-179762,128363-145331,128363-145323,128363-188464,128363-203761,128363-157833,128363-171795,128363-194829,128363-60021,322.60,59500,26.93,422.74,23.6418,0.1337
128363-145323,128363-145331,128363-179762,128363-188464,128363-110357,128363-12341,128363-145548,128363-60021,128363-58462,314.00,60000,23.07,419.70,20.4525,0.1130
128363-158373,128363-145331,128363-80808,128363-228122,128363-9714,128363-84667,128363-145334,128363-228127,128363-157825,293.00,58900,6.97,362.94,2.3064,0.0067
128363-145331,128363-179762,128363-157908,128363-157833,128363-228161,128363-80816,128363-188444,128363-203802,128363-84676,287.50,59500,4.57,357.66,1.1063,0.0030
128363-203718,128363-84667,128363-171784,128363-179762,128363-145334,128363-157833,128363-203761,128363-70823,128363-58462,312.20,59800,20.41,396.81,7.7964,0.0403
128363-110356,128363-49675,128363-158855,128363-9646,128363-213216,128363-67026,128363-233146,128363-203802,128363-80817,288.40,59800,8.47,363.40,2.3768,0.0140
128363-157850,128363-158373,128363-12341,128363-145548,128363-145323,128363-145335,128363-80808,128363-145576,128363-80817,275.00,58800,5.27,359.10,1.3384,0.0053
128363-19067,128363-110356,128363-145304,128363-145548,128363-203802,128363-49675,128363-12341,128363-9646,128363-15557,276.10,59600,6.63,356.13,1.6418,0.0060
128363-145331,128363-157850,128363-84667,128363-179762,128363-188449,128363-203761,128363-58462,128363-60021,128363-159097,313.30,59500,19.97,415.28,21.1573,0.0943
128363-203718,128363-110312,128363-203716,128363-157833,128363-80816,128363-110356,128363-203761,128363-68090,128363-161552,276.10,58000,4.70,349.78,0.1291,0.0023
128363-84667,128363-110312,128363-70823,128363-58462,128363-171784,128363-49675,128363-203761,128363-49116,128363-159097,304.20,59700,15.05,388.33,4.3191,0.0213
128363-145331,128363-158373,128363-179762,128363-84667,128363-157833,128363-145341,128363-60021,128363-80817,128363-157825,316.50,59500,14.87,407.17,9.1017,0.0540
128363-179762,128363-145331,128363-49675,128363-213216,128363-80808,128363-158855,128363-171795,128363-68090,128363-60021,307.30,60000,15.76,399.95,7.4247,0.0367
128363-158373,128363-145331,128363-188464,128363-110356,128363-9646,128363-49116,128363-188444,128363-68090,128363-145304,290.70,60000,5.83,366.20,3.8691,0.0193
128363-179762,128363-84667,128363-188416,128363-158855,128363-228161,128363-171784,128363-157833,128363-80808,128363-60021,301.10,59300,10.95,384.93,2.3877,0.0170
128363-145323,128363-228161,128363-157822,128363-157908,128363-67026,128363-9714,128363-49116,128363-233146,128363-203771,289.70,60000,6.46,355.19,0.6675,0.0067
128363-145323,128363-145331,128363-171770,128363-80808,128363-203798,128363-228124,128363-84695,128363-233146,128363-188451,289.40,60000,6.38,370.04,3.8598,0.0133
128363-80816,128363-145331,128363-228122,128363-158855,128363-188464,128363-145334,128363-171795,128363-80808,128363-145304,291.30,59900,7.65,377.21,4.8777,0.0217
128363-145323,128363-179762,128363-203718,128363-110312,128363-110357,128363-145334,128363-171770,128363-49116,128363-60021,304.20,59800,17.64,393.96,4.1582,0.0283
128363-179762,128363-145331,128363-228127,128363-188464,128363-67026,128363-58153,128363-80817,128363-60021,128363-188451,306.20,59800,14.94,405.73,10.5487,0.0620
128363-171784,128363-145331,128363-188464,128363-84667,128363-203761,128363-171795,128363-60021,128363-145304,128363-159097,313.60,59800,17.99,410.45,12.0112,0.0687
128363-145323,128363-145331,128363-84667,128363-179762,128363-203761,128363-188452,128363-60021,128363-145339,128363-80817,316.10,60000,21.73,417.80,32.0286,0.1317
128363-188410,128363-49675,128363-157822,128363-157833,128363-145334,128363-213216,128363-157826,128363-84695,128363-157825,287.60,58100,6.11,349.63,1.3741,0.0040
128363-188405,128363-203718,128363-60021,128363-58462,128363-171784,128363-161490,128363-171769,128363-171770,128363-159097,289.90,59700,6.26,371.85,1.3053,0.0070
128363-145331,128363-145323,128363-58462,128363-158855,128363-9714,128363-213216,128363-157822,128363-84695,128363-157825,308.60,59300,12.45,382.44,7.5697,0.0327
128363-145323,128363-158373,128363-58462,128363-228117,128363-188405,128363-213216,128363-203761,128363-157833,128363-203771,307.50,59600,6.48,368.69,1.8120,0.0093
128363-145331,128363-179762,128363-84667,128363-188464,128363-188449,128363-171795,128363-60021,128363-80817,128363-58462,313.10,59300,24.91,427.88,20.4952,0.1347
128363-145331,128363-179762,128363-84667,128363-145323,128363-203761,128363-171770,128363-60021,128363-194829,128363-157825,318.50,59400,23.93,415.30,14.9537,0.0990
128363-110312,128363-84667,128363-179762,128363-145323,128363-68090,128363-203761,128363-80817,128363-58462,128363-159097,315.50,59900,19.62,406.60,13.0491,0.0613
128363-110356,128363-145331,128363-179762,128363-188464,128363-171795,128363-203761,128363-60021,128363-157822,128363-157825,320.60,59900,23.79,413.26,15.7000,0.0917
128363-179762,128363-145323,128363-171784,128363-145334,128363-157833,128363-40562,128363-60021,128363-171795,128363-159097,310.40,59900,17.74,399.28,7.8504,0.0487
128363-188405,128363-145331,128363-203718,128363-179762,128363-110357,128363-84695,128363-58462,128363-60021,128363-157825,311.50,59300,18.27,401.78,8.2804,0.0520
128363-145331,128363-49675,128363-58153,128363-203761,128363-179762,128363-203718,128363-188444,128363-157822,128363-15557,295.90,58900,8.98,374.97,1.8794,0.0107
128363-203733,128363-110312,128363-49116,128363-70823,128363-110356,128363-84667,128363-171770,128363-110357,128363-158137,277.30,58700,6.98,361.86,1.4973,0.0060
128363-49675,128363-157850,128363-157822,128363-188418,128363-145323,128363-110356,128363-158855,128363-68090,128363-70823,294.10,59100,11.97,369.40,1.1679,0.0040
128363-145331,128363-158373,128363-80817,128363-158855,128363-110356,128363-203715,128363-49116,128363-203761,128363-145304,292.80,60000,5.27,371.99,2.4766,0.0177
128363-158373,128363-228133,128363-80817,128363-145314,128363-228118,128363-213216,128363-68090,128363-67026,128363-60021,295.30,59300,8.18,374.27,2.0936,0.0133
128363-145323,128363-84667,128363-203718,128363-179762,128363-203761,128363-12341,128363-157833,128363-171795,128363-60021,318.40,59300,25.51,415.04,14.3771,0.0897
128363-157850,128363-179762,128363-60021,128363-157851,128363-67026,128363-19067,128363-203761,128363-233146,128363-70823,287.50,57000,11.30,370.84,1.1469,0.0040
128363-145323,128363-228161,128363-80817,128363-157908,128363-213216,128363-203727,128363-9646,128363-203761,128363-157825,293.90,57900,7.59,361.38,2.1560,0.0127
128363-80816,128363-203718,128363-40562,128363-145314,128363-19067,128363-49675,128363-157833,128363-188416,128363-15557,275.50,58700,5.36,351.30,1.3770,0.0050
128363-171784,128363-145331,128363-179762,128363-188464,128363-203761,128363-171795,128363-60021,128363-58462,128363-70823,319.80,59400,25.86,420.07,18.4628,0.0953
128363-157850,128363-19067,128363-203761,128363-58462,128363-188464,128363-145334,128363-84670,128363-68090,128363-84676,299.80,59100,13.49,377.08,3.6424,0.0237
128363-49675,128363-188405,128363-158855,128363-58462,128363-228133,128363-110312,128363-84695,128363-228117,128363-203771,291.90,60000,6.20,364.33,2.3203,0.0167
128363-145323,128363-84667,128363-171784,128363-110312,128363-12341,128363-145341,128363-203761,128363-60021,128363-157811,311.90,59900,16.53,397.92,4.7436,0.0320
128363-145331,128363-171784,128363-157833,128363-188418,128363-157850,128363-213216,128363-58153,128363-84695,128363-157825,294.20,57500,9.97,366.83,3.1739,0.0157
128363-157850,128363-157812,128363-60021,128363-12341,128363-80816,128363-228133,128363-157822,128363-84695,128363-203771,292.20,59500,6.51,371.19,2.6266,0.0113
128363-188405,128363-145331,128363-58462,128363-203761,128363-203718,128363-145323,128363-188444,128363-84695,128363-203771,309.30,59800,8.44,380.81,3.0704,0.0170
128363-145323,128363-145331,128363-171784,128363-188464,128363-203761,128363-49116,128363-145339,128363-171795,128363-58462,309.80,59900,18.67,405.25,7.4670,0.0453
128363-110312,128363-145323,128363-80817,128363-233073,128363-9714,128363-19067,128363-110357,128363-145334,128363-157825,289.50,59600,8.51,363.74,1.1704,0.0050
128363-203718,128363-145331,128363-188464,128363-84667,128363-171795,128363-157833,128363-188418,128363-60021,128363-145304,310.00,60000,16.91,407.47,7.8379,0.0617
128363-145323,128363-179762,128363-110357,128363-188464,128363-203761,128363-12341,128363-157822,128363-58462,128363-188451,314.10,59800,21.97,405.92,8.6093,0.0620
128363-145331,128363-179762,128363-84667,128363-145323,128363-171795,128363-68090,128363-80817,128363-194829,128363-60021,315.00,59700,23.86,421.15,13.8654,0.1063
128363-145331,128363-84667,128363-68090,128363-12341,128363-228163,128363-228133,128363-84695,128363-110357,128363-161552,285.60,59500,6.54,367.62,2.2536,0.0123
128363-179762,128363-84667,128363-171784,128363-188464,128363-84695,128363-157833,128363-203761,128363-60021,128363-58462,323.50,59900,22.01,414.81,13.9798,0.0800
128363-157850,128363-158373,128363-80817,128363-157833,128363-188464,128363-228118,128363-40562,128363-9714,128363-157811,288.70,58400,9.76,372.36,3.5632,0.0153
128363-179762,128363-145331,128363-203713,128363-145323,128363-203761,128363-12341,128363-60021,128363-171795,128363-203771,314.30,59900,15.54,407.91,10.2164,0.0697
128363-49675,128363-157812,128363-58462,128363-80817,128363-84670,128363-228133,128363-228163,128363-145341,128363-58378,279.20,58800,5.31,359.66,2.3685,0.0067
128363-19067,128363-158373,128363-58462,128363-68090,128363-157850,128363-145335,128363-228127,128363-157822,128363-159097,291.40,59900,7.06,360.46,2.5679,0.0107
128363-179762,128363-145323,128363-203713,128363-188464,128363-84695,128363-157833,128363-203761,128363-60021,128363-80817,319.80,59900,16.33,408.94,11.9852,0.0707
128363-188405,128363-203713,128363-68090,128363-60021,128363-188464,128363-228124,128363-84695,128363-157833,128363-145548,290.70,59000,6.62,373.39,2.9442,0.0210
128363-145323,128363-19067,128363-179762,128363-188464,128363-157822,128363-203761,128363-60021,128363-157833,128363-159097,322.60,60000,20.43,403.90,12.3154,0.0510
128363-145331,128363-145323,128363-12341,128363-145548,128363-110312,128363-110357,128363-228127,128363-188418,128363-15557,283.90,58500,9.16,373.94,2.2675,0.0203
128363-203721,128363-188405,128363-9646,128363-80808,128363-157826,128363-188464,128363-12341,128363-145341,128363-157846,282.00,59800,4.77,358.57,0.9646,0.0090
128363-110312,128363-49675,128363-60021,128363-188444,128363-157850,128363-145335,128363-84695,128363-228127,128363-145314,285.10,59300,5.58,364.08,1.5534,0.0060
128363-228118,128363-158373,128363-145314,128363-9646,128363-157850,128363-171672,128363-158855,128363-171770,128363-58462,283.30,58600,7.69,365.32,1.5999,0.0137
128363-203777,128363-84667,128363-60021,128363-58462,128363-228161,128363-188464,128363-171770,128363-157833,128363-159097,307.40,59900,11.00,393.02,5.2888,0.0267
128363-80816,128363-203777,128363-157851,128363-145314,128363-67026,128363-84667,128363-233146,128363-157833,128363-58378,275.40,60000,4.06,352.56,0.6470,0.0067
128363-145323,128363-145331,128363-188464,128363-179762,128363-171795,128363-12341,128363-194829,128363-157833,128363-60021,318.70,60000,27.02,424.81,29.8307,0.1543
128363-145331,128363-179762,128363-145323,128363-188464,128363-110357,128363-203761,128363-145339,128363-80817,128363-60021,317.30,59700,24.02,419.56,15.9343,0.1087
128363-145331,128363-157850,128363-84667,128363-179762,128363-84695,128363-203761,128363-60021,128363-58462,128363-203771,320.30,60000,17.16,412.77,10.2709,0.0707
128363-110312,128363-171784,128363-157833,128363-171770,128363-9714,128363-171672,128363-188449,128363-188456,128363-157825,275.90,57900,7.29,357.13,1.1821,0.0050
128363-179762,128363-145331,128363-228122,128363-145339,128363-80816,128363-67026,128363-110357,128363-9646,128363-157825,290.00,59200,9.55,375.44,2.7586,0.0217
128363-203733,128363-157812,128363-58462,128363-188416,128363-188405,128363-188464,128363-12341,128363-158854,128363-80817,279.00,59200,4.98,367.39,2.1267,0.0150
128363-145323,128363-203733,128363-80817,128363-145314,128363-67026,128363-188464,128363-188422,128363-84689,128363-58462,282.90,60000,7.22,370.98,3.3180,0.0163
128363-228160,128363-179762,128363-157904,128363-58462,128363-67026,128363-84667,128363-188452,128363-80808,128363-60021,291.90,60000,7.88,378.74,1.2764,0.0113
128363-145323,128363-145331,128363-58153,128363-40562,128363-213216,128363-171784,128363-110357,128363-68090,128363-58378,296.30,59700,11.18,371.67,4.2663,0.0170
128363-179762,128363-145323,128363-157850,128363-203718,128363-157833,128363-203761,128363-80817,128363-60021,128363-157825,319.70,60000,21.96,412.62,12.8182,0.0757
128363-145331,128363-203718,128363-145548,128363-145304,128363-157850,128363-145334,128363-9646,128363-158855,128363-70823,285.20,58900,10.14,372.53,1.8761,0.0110
128363-145323,128363-179762,128363-84667,128363-67026,128363-158855,128363-12341,128363-60021,128363-80817,128363-188451,311.90,60000,19.84,414.54,18.0857,0.0900
128363-203798,128363-188405,128363-60021,128363-145339,128363-110312,128363-228133,128363-157833,128363-188456,128363-228700,277.40,59600,4.24,355.18,0.9563,0.0023
128363-145323,128363-145331,128363-188464,128363-84667,128363-157822,128363-203761,128363-145339,128363-60021,128363-157825,320.90,59800,22.58,412.36,17.5686,0.0923
128363-110312,128363-158373,128363-12341,128363-203761,128363-203802,128363-160022,128363-67026,128363-157833,128363-145548,294.00,59800,7.29,366.88,1.6385,0.0090
128363-145331,128363-203733,128363-49116,128363-58462,128363-84667,128363-188464,128363-12341,128363-188452,128363-157825,295.10,58600,15.39,394.30,4.9586,0.0327
128363-228133,128363-203718,128363-203761,128363-158855,128363-145334,128363-145323,128363-12341,128363-157822,128363-161552,296.40,59500,10.23,372.34,1.4231,0.0083
128363-179762,128363-145331,128363-203718,128363-145323,128363-12341,128363-171795,128363-80817,128363-188452,128363-60021,313.30,60000,23.49,419.24,15.9217,0.1010
128363-145331,128363-158373,128363-171767,128363-171769,128363-157850,128363-188405,128363-188449,128363-171770,128363-203787,276.20,59800,3.22,352.14,0.4496,0.0050
128363-84667,128363-145331,128363-188464,128363-179762,128363-203761,128363-84670,128363-171795,128363-80817,128363-60021,320.20,59800,26.10,426.28,17.7613,0.1210
128363-84667,128363-145331,128363-203718,128363-179762,128363-188449,128363-12341,128363-60021,128363-70823,128363-58462,301.00,57000,22.82,406.28,7.5408,0.0610
128363-84667,128363-179762,128363-188416,128363-171770,128363-188464,128363-67026,128363-68090,128363-9646,128363-159097,295.80,59300,11.75,383.42,1.9792,0.0117
