F,F,F,F,F,F
42728122,42704866,42704858,42704859,42704873,42704861
42728122,42704868,42704858,42704859,42728127,42704865
42704868,42704866,42704870,42704858,42704859,42728123
42728122,42728124,42704858,42704857,42704859,42704869
42728122,42704866,42704858,42704875,42704859,42704869
42728122,42704868,42704858,42704857,42704859,42728125
42728122,42704866,42704875,42704857,42704859,42704865
42728124,42704866,42704858,42704859,42704873,42704865
42728122,42704866,42704870,42704859,42704873,42704865
42728124,42704868,42704858,42704857,42704859,42704867
42728122,42704868,42704857,42704859,42704873,42728127
42728122,42704868,42704866,42704859,42704861,42704869
42728124,42704868,42704866,42704859,42704873,42728123
42728122,42704866,42704860,42704859,42728127,42704865
42728122,42728124,42704866,42704859,42704865,42704869
42728122,42704866,42704860,42704857,42704859,42728125
42728122,42704866,42704864,42704859,42704873,42704869
42728124,42704868,42704860,42704857,42704859,42728123
42728124,42704866,42704864,42704857,42704859,42728123
42728122,42704868,42704872,42704859,42704863,42704865
42728122,42704866,42704872,42704857,42704859,42704869
42728122,42728124,42704872,42704859,42728127,42704865
42728122,42728124,42704856,42704859,42704873,42704865
42728122,42704866,42704862,42704858,42704873,42728123
42704868,42704866,42704862,42704872,42704859,42728123
42728122,42704868,42704866,42704859,42704871,42728125
42728122,42704868,42704862,42704858,42704865,42704869
42728122,42704866,42704872,42704859,42728127,42704861
42728124,42704866,42704860,42704859,42704863,42704865
42728124,42704868,42704866,42704859,42704871,42704869
42728122,42728124,42704870,42704859,42728127,42704869
42704868,42704866,42704872,42704858,42704857,42728123
42728122,42704866,42704870,42704858,42704865,42704869
42728122,42728124,42704858,42704873,42728127,42704865
42728122,42704866,42704872,42704875,42704859,42728123
42728122,42704868,42704858,42704856,42704861,42704865
42728122,42728124,42704857,42704859,42704873,42704867
42728122,42704868,42704864,42704859,42728127,42728125
42704868,42704866,42704864,42704859,42704873,42728125
42704868,42704866,42704860,42704858,42704873,42728123
42728122,42704866,42704862,42704857,42728127,42704865
42728124,42704868,42704872,42704875,42704859,42728123
42728122,42728124,42704858,42704873,42704863,42704861
42728124,42704868,42704864,42704859,42728127,42704869
42728122,42728124,42704870,42704859,42704861,42704867
42728122,42704864,42704862,42704857,42704859,42728125
42728124,42704866,42704872,42704875,42704859,42704869
42728122,42704860,42704862,42704858,42704857,42728123
42728124,42704860,42704872,42704858,42704859,42704867
42728122,42704866,42704870,42704859,42704863,42704869
42728122,42704866,42728126,42704859,42704863,42704865
42728122,42704868,42704860,42704859,42704865,42704867
42728122,42704866,42704858,42704873,42704863,42704865
42728122,42704866,42704858,42704856,42728127,42704865
42728122,42704864,42704858,42704875,42704857,42728123
42728122,42704866,42704862,42704858,42704861,42704869
42728122,42728124,42704862,42704859,42728127,42704867
42728122,42704864,42728126,42704859,42704873,42704861
42728122,42704868,42704862,42704858,42704861,42728125
42728122,42704866,42704870,42704858,42704863,42728123
42728122,42704868,42728126,42704859,42704873,42704867
42728122,42704866,42704858,42704857,42704873,42728125
42728122,42704866,42704872,42704874,42704859,42704865
42728124,42704866,42704860,42704859,42704873,42704869
42728122,42704868,42704858,42704857,42704863,42704867
42728122,42704864,42704870,42704859,42704873,42704867
42728124,42704866,42704872,42704858,42704861,42704865
42728122,42704866,42704862,42704859,42728127,42704869
42728122,42704868,42704858,42704875,42704865,42704867
42728122,42704864,42704870,42704858,42704873,42728123
42704868,42704864,42704870,42704872,42704859,42728123
42728122,42704868,42704860,42704858,42704865,42728125
42728124,42704866,42728126,42704857,42704859,42704869
42728124,42704866,42704872,42704859,42704863,42728127
42728122,42704866,42704870,42704858,42704861,42728125
42728122,42728124,42704856,42704859,42728127,42704861
42728122,42704866,42704870,42704857,42704873,42704869
42704868,42704864,42704860,42704875,42704859,42728123
42704868,42704866,42704860,42704857,42728127,42704865
42704866,42704864,42704870,42704872,42704859,42704869
42728124,42704868,42704870,42704858,42704861,42728123
42728124,42704868,42704862,42704858,42704865,42704867
42728122,42704866,42704872,42704859,42704863,42704871
42728122,42728124,42704858,42704857,42728127,42704867
42704866,42704864,42704860,42704857,42704859,42704869
42704866,42704864,42704862,42704858,42704857,42728123
42728122,42704866,42704856,42704859,42704863,42728127
42728124,42704866,42704870,42704858,42704861,42704869
42728122,42704866,42704862,42704858,42728127,42728125
42728124,42704868,42704862,42704858,42728127,42728123
42728124,42704868,42704860,42704859,42728127,42704867
42728124,42704866,42704862,42704858,42728127,42704869
42704868,42704866,42704860,42704858,42704865,42704867
42728124,42704864,42704862,42704875,42704859,42728123
42704868,42704866,42704864,42704858,42704861,42728125
42704868,42704866,42728126,42704858,42704873,42704869
42728124,42704866,42704870,42704858,42728127,42728123
42704868,42704866,42704858,42704857,42704873,42704861
42704868,42704866,42704858,42704875,42704873,42704865
42704866,42704870,42704862,42704858,42704857,42704865
42704868,42704870,42704858,42704875,42704857,42704865
42704868,42704862,42704858,42704875,42704857,42704861
42704868,42704870,42704862,42704858,42704873,42704865
42704866,42704870,42704858,42704875,42704857,42704861
42704866,42704862,42704858,42704875,42704857,42728127
42728124,42704862,42704858,42704875,42704857,42704865
42704868,42704864,42704858,42704857,42704873,42728127
42704868,42704870,42704858,42704875,42704873,42728127
42728124,42704864,42704860,42704858,42704863,42728123
42728124,42704860,42704872,42704858,42704856,42728123
42728124,42704868,42704864,42704874,42704873,42728123
42728124,42704868,42704858,42704857,42704873,42704865
42704868,42704862,42704872,42704858,42704857,42704865
42728124,42704868,42704858,42704875,42704861,42704865
42704864,42704862,42704858,42704875,42704857,42704873
42728124,42704868,42704870,42704857,42704861,42704865
42704868,42704864,42704862,42704857,42704873,42704861
42704868,42704870,42704862,42704875,42704873,42704861
42728124,42704868,42704875,42704857,42728127,42704865
42704868,42704860,42704870,42704875,42704873,42704865
42728124,42704870,42704862,42704857,42704873,42728127
42728124,42704868,42704862,42704857,42704871,42704865
42728124,42704868,42704875,42704857,42704863,42704861
42704868,42704864,42704870,42704857,42728127,42704865
42728124,42704868,42704870,42704873,42704863,42704865
42704868,42704864,42704875,42704857,42704873,42704863
42704868,42704862,42728126,42704875,42704857,42704865
42704864,42704870,42704862,42704875,42704857,42704861
42704868,42704870,42704862,42704875,42704857,42704867
42704868,42704864,42704870,42704857,42704863,42704861
42728124,42704864,42704875,42704857,42704873,42728127
42728124,42704860,42704862,42704875,42704873,42704865
42704870,42704862,42704872,42704875,42704857,42704873
42728124,42704870,42704875,42704857,42704873,42704863
42728124,42704870,42704862,42704875,42704857,42704869
42728124,42704870,42704862,42704875,42728127,42704865
42728124,42704860,42704862,42704857,42704873,42704871
42704864,42704870,42704862,42704875,42704873,42728127
42728124,42704860,42704870,42704875,42704857,42728123
42704860,42704862,42728126,42704875,42704857,42704873
42704864,42704860,42704870,42704862,42704857,42704869
42704860,42704870,42704862,42728126,42704857,42704865
42728124,42704870,42704862,42704857,42704874,42704865
42728124,42704870,42704862,42704872,42704857,42728123
42704860,42704870,42704872,42704875,42704857,42728127
42728124,42728126,42704872,42704875,42704857,42704865
42704864,42704870,42704862,42704857,42704874,42704873
42728124,42704862,42704872,42704875,42728127,42704861
42728124,42704864,42704862,42704873,42728127,42704871
42704864,42704860,42704870,42704862,42704873,42704867
